SALES,Quantity_sold,Cost_of_sales,Month_NAME,Year_NAME,Day_NAME,Average_Unit_Price,Gross_profit,Total_sales,Total_units_sold,Total_cost_sale
316404.0625,9493,323293.4063,Aug,2014,Monday,33.33024992,6889.34375,,,
242824.5,7619,259860.5156,Aug,2014,Tuesday,31.87091482,17036.01563,,,
274712.25,8909,304334.7813,Aug,2014,Wednesday,30.83536312,29622.53125,,,
258066.1719,8400,287168.5625,Aug,2014,Thursday,30.72216332,29102.39063,,,
594007.1875,19317,660937.8125,Aug,2014,Friday,30.75048856,66930.625,,,
717096.6875,23310,797788.875,Aug,2014,Saturday,30.76347866,80692.1875,,,
358171,11646,398562.5938,Aug,2014,Sunday,30.75485145,40391.59375,,,
594953.625,19366,662851,Sep,2014,Monday,30.72155453,67897.375,,,
469469.9375,15291,523480.3125,Sep,2014,Tuesday,30.70236986,54010.375,,,
464067.8125,15100,517180.5313,Sep,2014,Wednesday,30.73296772,53112.71875,,,
312311.9688,10164,348177.125,Sep,2014,Thursday,30.72726965,35865.15625,,,
501279,16310,558766.6875,Sep,2014,Friday,30.73445739,57487.6875,,,
552703.875,17985,616169.875,Sep,2014,Saturday,30.73138032,63466,,,
234153.7656,7620,261088.3906,Sep,2014,Sunday,30.72884063,26934.625,,,
244481.5,7958,272633.4063,Sep,2014,Monday,30.72147525,28151.90625,,,
122749.6328,3503,120070.9531,Sep,2014,Tuesday,35.04128827,-2678.679688,,,
78736.40625,2247,77071.53906,Sep,2014,Wednesday,35.04067924,-1664.867188,,,
70875.10938,2023,69489.35938,Sep,2014,Thursday,35.03465614,-1385.75,,,
148634.3906,4242,145956.1406,Sep,2014,Friday,35.03875309,-2678.25,,,
171724.8281,4901,168652.2031,Sep,2014,Saturday,35.03873253,-3072.625,,,
86435.69531,2467,84948.375,Sep,2014,Sunday,35.0367634,-1487.320313,,,
120236.1797,3432,118094.0469,Sep,2014,Monday,35.03385189,-2142.132813,,,
83204.19531,2375,81753.42188,Sep,2014,Tuesday,35.03334539,-1450.773438,,,
73768.03125,2105,72471.92188,Sep,2014,Wednesday,35.04419537,-1296.109375,,,
69425.44531,1982,68280.38281,Sep,2014,Thursday,35.02797443,-1145.0625,,,
137154.9531,3915,135276.9063,Sep,2014,Friday,35.03319365,-1878.046875,,,
153569.0625,4383,151376.1406,Sep,2014,Saturday,35.03743155,-2192.921875,,,
75633.32031,2159,74546.67188,Sep,2014,Sunday,35.03164442,-1086.648438,,,
90815.92969,2592,89653.64063,Sep,2014,Monday,35.03700991,-1162.289063,,,
